"year","month","centroid_latitude","centroid_longitude","events_total","fatalities_total"
"1996","12","-12.442","17.417","2","40"
"1996","12","-2.127","29.391","1","1"
"1996","12","0.453","32.078","1","5"
"1996","12","3.019","32.389","1","4"
"1996","12","4.376","18.553","2","4"
"1996","12","7.710","-12.000","11","0"
"1996","12","8.205","-10.844","1","0"
"1996","12","9.118","-11.486","1","0"
"1996","12","15.710","35.536","1","0"
"1996","12","20.074","35.413","1","0"
"1996","12","26.513","22.085","1","8"
"1996","12","28.213","30.912","1","1"
"1996","12","34.747","0.240","1","2"
"1996","12","35.839","0.911","1","2"
"1996","12","36.530","2.170","1","5"
"1997","1","-28.942","30.469","1","0"
"1997","1","-26.371","25.237","2","4"
"1997","1","-18.615","17.007","1","0"
"1997","1","-5.082","12.256","2","0"
"1997","1","-4.235","29.800","8","17"
"1997","1","-4.132","13.523","1","0"
"1997","1","-3.997","39.601","1","2"
"1997","1","-3.965","15.474","1","0"
"1997","1","-3.875","29.470","3","15"
"1997","1","-3.394","29.367","2","0"
"1997","1","-3.267","29.653","2","487"
"1997","1","-3.118","29.399","1","7"
"1997","1","-2.848","29.262","1","22"
"1997","1","-2.735","30.316","2","248"
"1997","1","-2.286","29.682","1","9"
"1997","1","-2.127","29.391","5","9"
"1997","1","-1.791","15.653","1","12"
"1997","1","-1.610","29.910","6","127"
"1997","1","-0.461","36.099","2","1"
"1997","1","0.014","30.324","1","5"
"1997","1","0.137","30.009","1","2"
"1997","1","2.887","32.913","1","0"
"1997","1","2.977","35.359","1","3"
"1997","1","4.376","18.553","5","10"
"1997","1","4.680","31.690","2","24"
"1997","1","4.825","5.959","1","1"
"1997","1","5.415","-4.067","4","2"
"1997","1","5.760","6.327","1","3"
"1997","1","5.791","8.414","1","1"
"1997","1","6.491","3.785","3","2"
"1997","1","6.511","7.393","2","0"
"1997","1","6.517","1.204","1","0"
"1997","1","6.655","5.878","2","1"
"1997","1","7.058","-11.130","1","0"
"1997","1","7.117","3.267","1","0"
"1997","1","7.495","34.521","1","0"
"1997","1","7.622","6.854","1","3"
"1997","1","7.710","-12.000","19","0"
"1997","1","8.205","-10.844","9","0"
"1997","1","8.985","7.188","1","0"
"1997","1","9.100","-12.678","1","0"
"1997","1","9.118","-11.486","7","40"
"1997","1","11.008","34.095","29","1280"
"1997","1","11.048","32.698","2","0"
"1997","1","12.605","-7.990","1","0"
"1997","1","12.708","5.211","1","0"
"1997","1","12.909","34.082","2","316"
"1997","1","13.508","22.703","2","0"
